State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
Pennsylvania,"retail shop in Pennsylvania, USA",King of Prussia,"160 N Gulph Rd, King of Prussia, PA 19406, United States",+16102655727,https://www.simon.com/mall/king-of-prussia,4.6,,https://www.google.com/maps/place/King+of+Prussia/data=!4m7!3m6!1s0x89c6944ab30b8765:0x21c6a02d866542a5!8m2!3d40.088518!4d-75.3908645!16zL20vMDJtOTZr!19sChIJZYcLs0qUxokRpUJlhi2gxiE
Pennsylvania,"retail shop in Pennsylvania, USA",The Shops @ Rockvale,"35 S Willowdale Dr, Lancaster, PA 17602, United States",+17172939292,https://www.shoprockvale.com/,4.0,,https://www.google.com/maps/place/The+Shops+@+Rockvale/data=!4m7!3m6!1s0x89c63bc71853e98f:0xdf32b676569169f5!8m2!3d40.0212631!4d-76.19786!16s%2Fg%2F11cs4gqd1f!19sChIJj-lTGMc7xokR9WmRVna2Mt8
Pennsylvania,"retail shop in Pennsylvania, USA",Village at Newtown,"2800 S Eagle Rd, Newtown, PA 18940, United States",+16102157939,https://brixmor.com/leasing/retail-space/pa/newtown/village-at-newtown?utm_source=gmb&utm_medium=Yext,4.5,,https://www.google.com/maps/place/Village+at+Newtown/data=!4m7!3m6!1s0x89c154ea32b74fe5:0xef583c5666114d38!8m2!3d40.2344012!4d-74.9431544!16s%2Fg%2F1tqygdn0!19sChIJ5U-3MupUwYkROE0RZlY8WO8
Pennsylvania,"retail shop in Pennsylvania, USA",Pennsylvania General Store,"51 N 12th St, Philadelphia, PA 19107, United States",+12155929772,http://www.pageneralstore.com/,4.1,,https://www.google.com/maps/place/Pennsylvania+General+Store/data=!4m7!3m6!1s0x89c6c62be384d9df:0xace1291d9be3be0d!8m2!3d39.953731!4d-75.1586505!16s%2Fg%2F1tdkc0g9!19sChIJ39mE4yvGxokRDb7jmx0p4aw
Pennsylvania,"retail shop in Pennsylvania, USA",Pennsylvania General Store,"864 Township Line Rd, Elkins Park, PA 19027, United States",+18005454891,https://www.pageneralstore.com/,4.1,,https://www.google.com/maps/place/Pennsylvania+General+Store/data=!4m7!3m6!1s0x89c6b13a8cb535c1:0xc71b109eb5590675!8m2!3d40.0805785!4d-75.116142!16s%2Fg%2F11ll1s6d3p!19sChIJwTW1jDqxxokRdQZZtZ4QG8c
Pennsylvania,"retail shop in Pennsylvania, USA",Kohl's,"251 William St, Williamsport, PA 17701, United States",+15703290490,https://www.kohls.com/stores/pa/williamsport-1155.shtml?utm_source=google&utm_medium=organic&utm_campaign=local,4.3,,https://www.google.com/maps/place/Kohl%27s/data=!4m7!3m6!1s0x89cfa62230b820b5:0xf7226d08666b7ced!8m2!3d41.2390571!4d-77.0041621!16s%2Fg%2F1vnrrldm!19sChIJtSC4MCKmz4kR7XxrZghtIvc
Pennsylvania,"retail shop in Pennsylvania, USA",Katie's Country Store,"15174 US-220 #9525, Muncy Valley, PA 17758, United States",+15704822911,http://www.katiesstore.com/,4.7,,https://www.google.com/maps/place/Katie%27s+Country+Store/data=!4m7!3m6!1s0x89cf8f979ec6b29f:0x45217f09841cdd6d!8m2!3d41.3109932!4d-76.6074648!16s%2Fg%2F1vbl8kmd!19sChIJn7LGnpePz4kRbd0chAl_IUU
Pennsylvania,"retail shop in Pennsylvania, USA",Garden View Mall,"2062 Lycoming Creek Rd, Williamsport, PA 17701, United States",,,4.0,,https://www.google.com/maps/place/Garden+View+Mall/data=!4m7!3m6!1s0x89cfa8c355b6454d:0xcbaed316518ab312!8m2!3d41.2603967!4d-77.0432556!16s%2Fg%2F1263zjytk!19sChIJTUW2VcOoz4kRErOKURbTrss
Pennsylvania,"retail shop in Pennsylvania, USA",Surplus Outlet,"5464 US-15, Montgomery, PA 17752, United States",+15705471003,http://www.shopsurplusoutlet.com/,4.4,,https://www.google.com/maps/place/Surplus+Outlet/data=!4m7!3m6!1s0x89cfa0ca7df96855:0x1c1c6a5f2b14ee61!8m2!3d41.1898625!4d-76.9151891!16s%2Fg%2F1vhq4phd!19sChIJVWj5fcqgz4kRYe4UK19qHBw
Pennsylvania,"retail shop in Pennsylvania, USA",Aline Country Store,"4959 PA-104, Mt Pleasant Mills, PA 17853, United States",+15705398340,https://alinecountrystore.com/,4.6,,https://www.google.com/maps/place/Aline+Country+Store/data=!4m7!3m6!1s0x89cf31ea27a0f3c9:0xdcf3b899dac10c2!8m2!3d40.6847715!4d-76.9828613!16s%2Fg%2F11q2x8r3z3!19sChIJyfOgJ-oxz4kRwhCsnYk7zw0
