State,Search Query,Business Name,Address,Phone,Website,Rating,Reviews,Place URL
Maryland,"retail shop in Maryland, USA",Hagerstown Premium Outlets,"495 Premium Outlets Blvd, Hagerstown, MD 21740, United States",+13017900300,https://www.premiumoutlets.com/outlet/hagerstown,4.2,,https://www.google.com/maps/place/Hagerstown+Premium+Outlets/data=!4m7!3m6!1s0x89c9ed855a230295:0x3a299a992a4e6f1b!8m2!3d39.6080927!4d-77.7331293!16s%2Fg%2F12hp9kpzk!19sChIJlQIjWoXtyYkRG29OKpmaKTo
Maryland,"retail shop in Maryland, USA",The Maryland Store,"2200 Sykesville Rd, Westminster, MD 21157, United States",+14107512050,http://www.themarylandstore.com/,4.7,,https://www.google.com/maps/place/The+Maryland+Store/data=!4m7!3m6!1s0x89c839a2abbd2fbf:0x4a775a57777ebd84!8m2!3d39.512853!4d-76.9756782!16s%2Fg%2F1w4vkx85!19sChIJvy-9q6I5yIkRhL1-d1dad0o
Maryland,"retail shop in Maryland, USA",Tanger Outlets National Harbor,"6800 Oxon Hill Rd, Oxon Hill, MD 20745, United States",+13015673880,https://www.tangeroutlet.com/nationalharbor,4.4,,https://www.google.com/maps/place/Tanger+Outlets+National+Harbor/data=!4m7!3m6!1s0x89b7ba86e8d878e7:0x99af4242f0f39730!8m2!3d38.794645!4d-77.001121!16s%2Fg%2F1yh7_rcf3!19sChIJ53jY6Ia6t4kRMJfz8EJCr5k
Maryland,"retail shop in Maryland, USA",Outlets Ocean City,"12741 Ocean Gateway, Ocean City, MD 21842, United States",+14103349200,https://www.outletsoceancity.com/,4.3,,https://www.google.com/maps/place/Outlets+Ocean+City/data=!4m7!3m6!1s0x89b9284cb6f0a367:0x2134da4b1d87657a!8m2!3d38.3386539!4d-75.1060124!16s%2Fg%2F11cfgypb1!19sChIJZ6PwtkwouYkRemWHHUvaNCE
Maryland,"retail shop in Maryland, USA",Arundel Mills,"7000 Arundel Mills Cir, Hanover, MD 21076, United States",+14105405100,https://www.simon.com/mall/arundel-mills,4.4,,https://www.google.com/maps/place/Arundel+Mills/data=!4m7!3m6!1s0x89b7e3dd7f3b1d2f:0x78cd8ae1d12a3518!8m2!3d39.1548155!4d-76.7242454!16zL20vMDZibXR3!19sChIJLx07f93jt4kRGDUq0eGKzXg
Maryland,"retail shop in Maryland, USA",College Park Shopping Center,"7236-7370 Baltimore Ave, College Park, MD 20740, United States",+12403333600,http://college-center-college-park.edan.io/,4.0,,https://www.google.com/maps/place/College+Park+Shopping+Center/data=!4m7!3m6!1s0x89b7c6be56b96d2b:0x943567f860bd8bda!8m2!3d38.9803811!4d-76.9388069!16s%2Fg%2F1vlzc7x1!19sChIJK225Vr7Gt4kR2ou9YPhnNZQ
Maryland,"retail shop in Maryland, USA",Bethesda Row,"4827 Bethesda Ave, Bethesda, MD 20814, United States",+18772657417,http://www.bethesdarow.com/,4.5,,https://www.google.com/maps/place/Bethesda+Row/data=!4m7!3m6!1s0x89b7c97c0ac78ee5:0x2653933ac69d8707!8m2!3d38.9811198!4d-77.0969047!16s%2Fg%2F1q64prh_v!19sChIJ5Y7HCnzJt4kRB4edxjqTUyY
Maryland,"retail shop in Maryland, USA",Ellsworth Place,"8661 Colesville Rd, Silver Spring, MD 20910, United States",+13015891091,http://ellsworthplace.com/,4.3,,https://www.google.com/maps/place/Ellsworth+Place/data=!4m7!3m6!1s0x89b7c8ba055b212d:0xfaf7db4247bfb95!8m2!3d38.9971422!4d-77.026636!16s%2Fm%2F04jmlvs!19sChIJLSFbBbrIt4kRlft7JLR9rw8
Maryland,"retail shop in Maryland, USA",Towson Town Center,"825 Dulaney Valley Rd, Towson, MD 21204, United States",+14105836600,https://www.towsontowncenter.com/en.html,4.4,,https://www.google.com/maps/place/Towson+Town+Center/data=!4m7!3m6!1s0x89c80faebad96de5:0x941a41a139fe6382!8m2!3d39.4038278!4d-76.5994585!16zL20vMGI5bGdj!19sChIJ5W3Zuq4PyIkRgmP-OaFBGpQ
Maryland,"retail shop in Maryland, USA",Queenstown Premium Outlets,"441 Outlet Center Dr, Queenstown, MD 21658, United States",+14108278699,https://www.premiumoutlets.com/outlet/queenstown,4.3,,https://www.google.com/maps/place/Queenstown+Premium+Outlets/data=!4m7!3m6!1s0x89b8120c0d729a25:0xa40dac47828fe8b0!8m2!3d38.983025!4d-76.1598444!16s%2Fg%2F1vnrlxrp!19sChIJJZpyDQwSuIkRsOiPgkesDaQ
Maryland,"retail shop in Maryland, USA",Westfield Montgomery,"7101 Democracy Blvd, Bethesda, MD 20817, United States",+13014696000,https://www.westfield.com/en/united-states/montgomery,4.4,,https://www.google.com/maps/place/Westfield+Montgomery/data=!4m7!3m6!1s0x89b7cc7e59b9eb17:0xa8ce96213e429d83!8m2!3d39.0241209!4d-77.1459575!16s%2Fm%2F02pxl7g!19sChIJF-u5WX7Mt4kRg51CPiGWzqg
Maryland,"retail shop in Maryland, USA",The Mall in Columbia,"10300 Little Patuxent Pkwy, Columbia, MD 21044, United States",+14107303300,https://www.themallincolumbia.com/en.html,4.4,,https://www.google.com/maps/place/The+Mall+in+Columbia/data=!4m7!3m6!1s0x89b7df983d29bebd:0x7a5d58d06175dc7f!8m2!3d39.2164884!4d-76.8627766!16zL20vMDNmYmpo!19sChIJvb4pPZjft4kRf9x1YdBYXXo
Maryland,"retail shop in Maryland, USA",Annapolis Mall,"2002 Annapolis Mall Rd, Annapolis, MD 21401, United States",+14102665432,https://www.shopannapolismall.com/?utm_source=google&utm_medium=onlinesearch&utm_content=gmb_website_button&utm_campaign=yext,4.4,,https://www.google.com/maps/place/Annapolis+Mall/data=!4m7!3m6!1s0x89b7f11876008273:0x8f76ebc854ec125f!8m2!3d38.9900607!4d-76.5430548!16zL20vMGRtaDQ0!19sChIJc4IAdhjxt4kRXxLsVMjrdo8
Maryland,"retail shop in Maryland, USA",The Village of Cross Keys,"5100 Falls Rd, Baltimore, MD 21210, United States",+14106395050,https://crosskeysbaltimore.com/,4.3,,https://www.google.com/maps/place/The+Village+of+Cross+Keys/data=!4m7!3m6!1s0x89c81ab45a596f8d:0x7f757528d499bd31!8m2!3d39.3559543!4d-76.6445464!16s%2Fg%2F1tfzc4fk!19sChIJjW9ZWrQayIkRMb2Z1Ch1dX8
Maryland,"retail shop in Maryland, USA",Beltsville Park & Shop,"11109 Baltimore Ave, Beltsville, MD 20705, United States",+13015958980,,4.2,,https://www.google.com/maps/place/Beltsville+Park+%26+Shop/data=!4m7!3m6!1s0x89b7c382af9ec8cf:0xbe9bc5fa65701871!8m2!3d39.0350214!4d-76.9061915!16s%2Fg%2F1tf5ljx0!19sChIJz8ier4LDt4kRcRhwZfrFm74
